"last_name","frequency"
"Kilgour",202
"Yurek",202
"Kornyak",202
"Lubachevsky",202
"Pews",202
"Thummel",202
"Karnin",202
"Biran",202
"Soicher",202
"Schapire",202
"Schlegelmilch",202
"Genther",201
"Krybus",201
"Pelc",201
"Albarhamtoshy",201
"Schusler",201
"Rouquie",201
"Kalorkoti",201
"Erdi",201
"Mukaidono",201
"Taneja",201
"Brodie",201
"Clouatre",201
"McConalogue",201
"Perez",201
"Wynblatt",201
"Bahl",201
"Rusterholz",201
"Bernardeschi",201
"Cooke",201
"Morrow",201
"Stanfel",201
"Kavanagh",201
"Auyong",200
"Rosch",200
"Maraist",200
"Sgarro",200
"Iwayama",200
"Lamma",200
"Norsworthy",200
"Heystek",200
"Hiroyama",200
"Fargier",200
"Gulik",200
"Itzigehl",200
"Imataki",200
"Bugrara",200
"Hoppenstand",200
"Schreiter",200
"Pocchiola",200
"Shumilov",200
"Domenig",200
"Gimbel",200
"Dredge",200
"Pfau",200
"Taubenfeld",200
"Kaelbling",200
"Beetstra",200
"Radivojevic",200
"Snedden",200
"Hammerschmidt",200
"McClurg",200
"Speek",200
"Nannarelli",200
"Lindenbaum",200
"Mitzlaff",200
"Otillio",200
"Warwick",199
"Mawatari",199
"Hettesheimer",199
"Karner",199
"Neimat",199
"Hitomi",199
"Hofman",199
"Gammage",199
"Brookner",199
"Fortenbacher",199
"Rassart",199
"Akaboshi",199
"Michaels",199
"Kawashima",199
"Sridhar",199
"Speckmann",199
"Munawer",199
"Muchinsky",199
"Slobodova",199
"Skafidas",199
"Servieres",199
"Maierhofer",199
"Merks",199
"Curless",199
"Tiemann",199
"Zaumen",199
"Katiyar",198
"Vigier",198
"McFarlin",198
"Vernadat",198
"Chinin",198
"Stanger",198
"Ghazalie",198
"Khamsi",198
"Bhattacharjee",198
"Schiper",198
"Landherr",198
"Hiyoshi",198
"Lalonde",198
"Poupard",198
"Bednarek",198
"Pashtan",198
"Matzen",198
"Piveteau",198
"Picco",198
"Zallocco",198
"Parveen",198
"Antonakopoulos",197
"Spelt",197
"Jiang",197
"Miara",197
"Gornas",197
"Karcich",197
"Jonsson",197
"Oppitz",197
"Weisert",197
"Ciolek",197
"Braccini",197
"Erdmenger",197
"Guting",197
"Ohori",197
"Viele",197
"Schmiedel",197
"Merel",197
"Kampfer",197
"Boyle",197
"Deville",197
"Suomi",197
"Rajaraman",197
"Granlund",197
"Avouris",197
"Ranta",197
"Srimani",197
"Pelz",197
"Ranum",197
"Baby",197
"Luca",197
"Nishimukai",197
"Weedman",197
"Mikschl",197
"Szilard",197
"Gustavson",196
"Monarch",196
"Brender",196
"Leaver",196
"Llado",196
"Rosenbaum",196
"Michaeli",196
"Carrere",196
"Borstler",196
"Heuser",196
"Syang",196
"Sichman",196
"Chepyzhov",196
"Hartvigsen",196
"Sadowski",196
"Meriste",196
"Antonisse",196
"Merey",196
"Kakkar",196
"Quadeer",196
"Schaap",196
"Servi",196
"Grospietsch",196
"Simkin",196
"Conia",196
"Schach",196
"Gajiwala",196
"Masand",196
"Papadias",196
"Hofstetter",196
"Swan",196
"Setia",196
"Marrakchi",195
"Keustermans",195
"Muntz",195
"Munke",195
"Zumaque",195
"Alameldin",195
"Vilarrasa",195
"Matheson",195
"Birta",195
"Bouloucos",195
"Swift",195
"Mellouli",195
"Camurati",195
"Conde",195
"Cools",195
"Daescu",195
"Serna",195
"Segond",195
"Manders",195
"Engberts",195
"Rosin",195
"Ermel",195
"Rindone",195
"Rikino",195
"Langford",195
"Gronowski",195
"Picel",195
"Hardjono",195
"Kumaresan",195
"Kuhnemann",195
"Papsdorf",195
"Wrigley",195
"Ouhyoung",195
"Luft",195
"Kalloufi",195
"Schaad",194
"Remmele",194
"Tagansky",194
"Kobara",194
"Frolund",194
"Juneja",194
"Haumacher",194
"Erez",194
"Constantine",194
"Vickson",194
"Unno",194
"Hofting",194
"Nanard",194
"Hiraishi",194
"Birge",194
"Shanbhogue",194
"Schwaller",194
"Docker",194
"Fujisaki",194
"Salvesen",194
"Kuszyk",194
"Schaar",194
"Brobst",194
"Peltason",194
"Melski",194
"Iivonen",194
"Irland",194
"Kusakabe",194
"Basagni",194
"Stentiford",194
"Christ",193
"Serre",193
"Stassinopoulos",193
"Rosis",193
"Sifakis",193
"Worfolk",193
"Melichar",193
"Camarinopoulos",193
"Melton",193
"Butner",193
"Alblas",193
"Sundgren",193
"Candan",193
"Jakobus",193
"Radhakrishnan",193
"Gist",193
"Kleiser",193
"Colorni",193
"Wursthorn",193
"Chvatal",193
"Morrin",193
"Thebaut",193
"Cochrane",193
"Crelier",193
"Hertweck",193
"Bernatsky",193
"Junet",193
"Linnainmaa",193
"Thimonier",192
"Apsitis",192
"Kisuki",192
"Rajala",192
"Menhoudj",192
"Senzako",192
"Simmen",192
"Heuter",192
"Kemmerer",192
"Pehl",192
"Eickenmeyer",192
"Eiter",192
"Cherinka",192
"Dulin",192
"Barbanera",192
"Baer",192
"Luby",192
"Rosiles",192
"Hutton",192
"Ertl",192
"Woycyznski",192
"Maliniak",192
"Parascandalo",192
"Wossner",192
"Wroclawski",192
"Ducloy",192
"Remmers",192
"Baaz",192
"Fontan",192
"Tomescu",192
"Zongker",192
"Randi",192
"Bahk",192
"Heyers",192
"Speel",192
"Weiland",191
"Sidou",191
"Kilgore",191
"Anick",191
"Kushner",191
"Azumi",191
"Larfeldt",191
"Khalid",191
"Krohm",191
"Haddadi",191
"Bach",191
"Noriega",191
"Furedi",191
"Pusterhofer",191
"Byoun",191
"Khalil",191
"Hoogerwoord",191
"Miake",191
"Ghelli",191
"Brandsma",191
"Trystram",191
"Selvestrel",191
"Thiran",191
"Bahr",191
"Salinas",191
"Kaminger",191
"Marquardt",191
"Plessier",191
"Bodoff",191
"Bruckman",191
"Peak",191
"Fairtlough",191
"Roisin",191
"Vecchio",191
"Mapelli",191
"Peron",191
"Plesums",191
"Hasham",191
"Parfitt",191
"Gomatam",191
"Vecchi",191
"Kambil",191
"Rothenberg",191
"Cardazo",190
"Jullig",190
"Keohane",190
"Itzfeldt",190
"Munch",190
"Kohling",190
"Jervis",190
"Lindqvist",190
"Emiris",190
"Merkl",190
"Staylopatis",190
"Salverda",190
"Steenbeek",190
"Anandan",190
"Seghrouchni",190
"Liesche",190
"Callaway",190
"Strandh",190
"Conte",190
"Riesenhuber",190
"Reeken",190
"Ranft",190
"Suppi",190
"Suri",190
"Leslie",190
"Madeira",190
"Diderrich",190
"Ramaiah",190
"Swiss",190
"Lorin",190
"Birsak",190
"Birnbaum",190
"Czap",190
"Goodrum",190
"Klassen",190
"Anger",190
"Underwood",190
"Peyn",190
"Hanratty",190
"Haraldson",190
"Hellwagner",190
"Moffat",190
"Ashish",190
"Vingron",190
"Baezner",190
"Manderick",189
"Fiebach",189
"Perfilyeva",189
"Plump",189
"Litecky",189
"Zaccaria",189
"Horswill",189
"Uehara",189
"Boreale",189
"Dulay",189
"Backhouse",189
"Maquelin",189
"Rousseau",189
"Lanzelotte",189
"Bala",189
"Ellozy",189
"Francisci",189
"Huttel",189
"Spinelli",189
"Millington",189
"Kriebel",189
"Jahnichen",189
"Baar",189
"Ferretti",189
"Highland",189
"Budinsky",189
"Valette",189
"Bonifati",189
"Hanabata",189
"Przulj",189
"Siochi",189
"Gils",189
"Billawala",189
"Molenkamp",189
"Lorys",189
"Acton",189
"Parhami",189
"Rahimi",189
"Smailagic",189
"Chleq",189
"Petersohn",189
"Bultermann",189
"Leuchs",189
"Marshall",189
"Farrar",189
"Pargas",189
"Gargeya",189
"Orsini",189
"Scharstein",189
"Laventhal",189
"Perly",189
"Bellmore",189
"Picht",189
"Shackel",189
"Bolotov",188
"Katzenelson",188
"Bressoud",188
"Garnick",188
"Kawashimo",188
"Kamble",188
"Sudkamp",188
"Oberman",188
"Tyugu",188
"Stroustrup",188
"Ressouche",188
"Waymire",188
"Begiun",188
"Luan",188
"Bazzichi",188
"Reutenauer",188
"Delgrossi",188
"Majewski",188
"Perry",188
"Rissland",188
"Denti",188
"Makrucki",188
"Decleir",188
"Heering",188
"Mitina",188
"Yoshizawa",188
"Penz",188
"Delgrande",188
"Zirintsis",188
"Baek",188
"Demos",188
"Murtha",188
"Jansen",188
"Joslin",188
"Impagliazzo",188
"Tchuente",188
"Puppo",188
"Narwekar",188
"Besselaar",188
"Garigliano",187
"Crooks",187
"Shihab",187
"Siegrist",187
"Lenart",187
"Eiron",187
"Chachaty",187
"Lipner",187
"Nyanchama",187
"Leivant",187
"Eugenio",187
"Middleton",187
"Rodham",187
"Famili",187
"Felcyn",187
"Strehl",187
"Buescher",187
"Demian",187
"Bridgland",187
"Bratten",187
"Bojadziev",187
"Milicic",187
"Xiaoshan",187
"Billingsley",187
"Bierman",187
"Preusig",187
"Beznosov",187
"Zeidenstein",187
"Yeung",187
"Godskesen",187
"Benzmuller",187
"Belinskaya",187
"Vanwelkenhuysen",187
"Velasco",187
"Versino",187
"Hiltgen",187
"Hinsberger",187
"Pavlopoulou",187
"Kusalik",187
"Muhling",187
"Isard",187
"Awdeh",187
"Kornatzky",187
"Kaiser",187
"Danley",187
"McDermid",186
"Krzyzanowski",186
"Iacovou",186
"Walstra",186
"Lundstrom",186
"Bain",186
"Vesel",186
"Peir",186
"Mitchem",186
"Hedayat",186
"Gyimothy",186
"Gulak",186
"Meszaros",186
"Benantar",186
"Berendt",186
"Goldhammer",186
"Poulakidas",186
"Danecki",186
"Merli",186
"Giveon",186
"Pulkowski",186
"Sethi",186
"Talmor",186
"Takkinen",186
"Ratnakar",186
"Liedekerke",186
"Rijckaert",186
"Facello",186
"Cannard",186
"Rosen",186
"Kavvadias",186
"Erbe",186
"Silva",186
"Koshino",186
"Kranzdorf",186
"Krichel",185
"Marrevee",185
"Willoner",185
"Zucker",185
"Walston",185
"Veevers",185
"Barvinok",185
"Valtorta",185
"Tsukuda",185
"Terekhov",185
"Borovoy",185
"Brattka",185
"Braunschweig",185
"Brendel",185
"Cappelli",185
"Chandrasekhar",185
"Sooriamurthi",185
"Crouzet",185
"Danlos",185
"DasSarma",185
"Decaestecker",185
"Schwartzburd",185
"Schieder",185
"Dusink",185
"Erde",185
"Rosay",185
"Riefers",185
"Reghbati",185
"Fraisse",185
"Ranai",185
"Gerteisen",185
"Ghalwash",185
"Rahier",185
"Pollacia",185
"Gruenwald",185
"Plavsic",185
"Gurbaxani",185
"Petereit",185
"Paciorek",185
"Orlowski",185
"Openshaw",185
"Kakkad",185
"Nastansky",185
"Kitai",185
"Narahara",185
"Muhlberg",185
"Kropp",185
"Lally",185
"Lorch",185
"Kobuchi",184
"Narlikar",184
"Karunanithi",184
"Asrin",184
"Kaltofen",184
"Jeansoulin",184
"Ozeki",184
"Montemayor",184
"Panwar",184
"Isaac",184
"Ibel",184
"Honglei",184
"Holburn",184
"Kusakari",184
"Heiserman",184
"Heemskerk",184
"Masaki",184
"Harllee",184
"Hambrick",184
"Gill",184
"Gien",184
"Furudate",184
"Feldmann",184
"Rodier",184
"Rosca",184
"Esposito",184
"Dratva",184
"Dichev",184
"Schade",184
"Denna",184
"Schiettecatte",184
"Schlumberger",184
"Crabtree",184
"Conti",184
"Compeau",184
"Codenie",184
"Chaudhury",184
"Stamatiou",184
"Litvinov",184
"Massonet",184
"Lorcy",184
"Brodal",184
"Szmurlo",184
"Usery",184
"Babu",184
"Weedon",184
"Welham",184
"Koblitz",184
"Koyama",183
"Munoz",183
"Escriba",183
"Rothe",183
"Zolotykh",183
"Sankaranarayanan",183
"Alpay",183
"Wegerle",183
"Bottner",183
"Schaft",183
"Klerer",183
"Naudin",183
"Koshiba",183
"Lichtman",183
"Birdsall",183
"Krone",183
"Olano",183
"Terlouw",183
"Oxenboll",183
"Mansanne",183
"Dehkordi",183
"Debuse",183
"Paludetto",183
"Lovengreen",183
"Bellone",183
"Luff",183
"Hooghiemstra",183
"Vasanthakumar",183
"Passino",183
"Cmelik",183
"Cheshire",183
"Hofmeyr",183
"Peac",183
"Molberg",183
"Henders",183
"Peot",183
"Veeraraghavan",183
"Perl",183
"Waeselynck",183
"Stasinski",183
"Stavenow",183
"Waterhouse",183
"Haldar",183
"Pietrzykowski",183
"Pollock",183
"Menhardt",183
"Cappelletti",183
"Stenning",183
"Randt",183
"Raney",183
"Reistad",183
"Rettelbach",183
"Straney",183
"Businaro",183
"Rodite",183
"Fadgyas",183
"Suermann",182
"Anily",182
"Ariola",182
"Auria",182
"Azadmanesh",182
"Baak",182
"Back",182
"Baez",182
"Bale",182
"Basawa",182
"Besancenot",182
"Birke",182
"Buchter",182
"Busillo",182
"Claffy",182
"Einsfeld",182
"England",182
"Eterovic",182
"Gluchowski",182
"Grandbois",182
"Guenter",182
"Jumpertz",182
"Kavraki",182
"Koblick",182
"Krogh",182
"Kroll",182
"Lammel",182
"Lortz",182
"Luck",182
"Matzat",182
"Msuda",182
"Murillo",182
"Naumovich",182
"Peng",182
"Percebois",182
"Pettit",182
"Poehlman",182
"Poujol",182
"Raczkowsky",182
"Ratzlaff",182
"Renear",182
"Rohrbach",182
"Setlzner",182
"Speer",182
"Spieker",182
"Talmon",182
"Trelles",182
"Uhrik",182
"Uludag",182
"Ushiama",182
"Varman",182
"Verhaegen",182
"Vuskovic",182
"Zlotek",182
"Ossenbruggen",181
"Angel",181
"Nooteboom",181
"Munos",181
"Kroft",181
"Yemenis",181
"Asmuth",181
"Atchley",181
"Waschkowski",181
"Luit",181
"Mayerwieser",181
"Mahmud",181
"Zyda",181
"Vendrig",181
"Bashian",181
"Varley",181
"Uhrig",181
"Trachtenberg",181
"Takanami",181
"Szemeredi",181
"Swist",181
"Broder",181
"Staudhammer",181
"Chaudhuri",181
"Chelton",181
"Chiodo",181
"Spataro",181
"Markovitch",181
"Smeets",181
"Comellas",181
"Cronan",181
"Lichtner",181
"Cronau",181
"Cyne",181
"Dahlbom",181
"Dalphin",181
"Dayang",181
"Schwabacher",181
"Schmittgen",181
"Demri",181
"Dengi",181
"Schapiro",181
"Savasere",181
"Fetvedt",181
"Reinhart",181
"Flasterstein",181
"Ratnaker",181
"Ranon",181
"Fujisawa",181
"Giaccio",181
"Gilg",181
"Quittner",181
"Gunderson",181
"Harbusch",181
"Peroz",181
"Kuzuoka",181
"Heusch",181
"Huxford",181
"Iisaka",181
"Ballarin",180
"Mattern",180
"McAffer",180
"Ligten",180
"Mondadori",180
"Munck",180
"Kowalchuk",180
"Nitta",180
"Kalafatis",180
"Griswold",180
"Prochazka",180
"Zizka",180
"Fioravanti",180
"Fasbender",180
"Rissanen",180
"Fabrizio",180
"Erol",180
"Erie",180
"Ruther",180
"DuBourdieux",180
"Sherertz",180
"Cronin",180
"Covnot",180
"Sidhu",180
"Cooman",180
"Cincotta",180
"Christianini",180
"Chorvat",180
"Stellhorn",180
"Sullins",180
"Birrer",180
"Binding",180
"Terkki",180
"Beutelspacher",180
"Toyoshima",180
"Bennis",180
"Tsukune",180
"Vakili",180
"Zweizig",180
"Bail",180
"Bahi",180
"Vitiello",180
"Bael",180
"Baalen",180
"Winter",180
"Makinen",180
"Krychniak",179
"Broomell",179
"Ramamoorthy",179
"Berztiss",179
"Prenel",179
"Birch",179
"Marchesini",179
"Puppe",179
"Lieblein",179
"Yurov",179
"Ozeri",179
"Wilfing",179
"Pagter",179
"Werthner",179
"Azulay",179
"Snyers",179
"Rodiger",179
"Schneeberger",179
"Falco",179
"Roccetti",179
"Farrag",179
"Hockney",179
"Chiola",179
"Dymetman",179
"Klyachko",179
"Katalagarianos",179
"McClure",179
"Pepe",179
"Luga",179
"Hebden",179
"Hatcliff",179
"Bazelow",179
"Deverell",179
"Steinauer",179
"Foong",179
"Delgrange",179
"Luon",179
"Kolinko",179
"Ulupinar",179
"Negoita",179
"Ladret",179
"Shokrollahi",179
"Beilner",179
"Streng",179
"Turnbull",179
"Lupu",179
"Motley",179
"Trogemann",179
"Gecseg",179
"Levasseur",178
"Brlek",178
"Brickell",178
"Murtafg",178
"Botman",178
"Kossowski",178
"Rebaine",178
"Bakhtari",178
"Eastman",178
"Falby",178
"Binkley",178
"Strooper",178
"Tasistro",178
"Radwan",178
"Benveniste",178
"Lagarias",178
"Ginneken",178
"Chartres",178
"Figueira",178
"Felder",178
"Verspoor",178
"Bamford",178
"Sewelson",178
"Demir",178
"Capobianchi",178
"Solovay",178
"Samarati",178
"Sinitsyn",178
"Detkin",178
"Casley",178
"Ernst",178
"Angot",178
"Peres",178
"Jarecki",178
"Restivo",178
"Attimonelli",178
"Kermarrec",178
"Rathonyi",178
"Seuren",178
"Chenoweth",178
"Magliocco",178
"Ramsey",178
"Improta",178
"Bernini",178
"Templeman",177
"Nitsche",177
"Merlo",177
"Rando",177
"Anido",177
"Angiulli",177
"DuCasse",177
"Monkewich",177
"Magalhaes",177
"Uchoa",177
"Caine",177
"Peck",177
"Feldhoffer",177
"Herath",177
"Knightly",177
"Chinen",177
"Zeilberger",177
"Undy",177
"Frezza",177
"Peral",177
"Zeleznik",177
"Nourani",177
"Thorensen",177
"Thiria",177
"Bardell",177
"Krupka",177
"Pouyioutas",177
"Peris",177
"Trumbly",177
"DiGiano",177
"Cunliffe",177
"Aseltine",177
"Ruemmler",177
"Mullainathan",177
"Matzke",177
"Czaja",177
"Zhiwei",177
"Jayawardene",177
"Cairo",177
"Vandervoorde",177
"Zultner",177
"Perri",177
"Kieras",177
"Heping",176
"Demizu",176
"Danner",176
"Selenyi",176
"Olivero",176
"Armand",176
"Lukaszewicz",176
"Jording",176
"Kugler",176
"Pardalos",176
"Baca",176
"Passafiume",176
"Baja",176
"Zwicker",176
"Hasenauer",176
"Miyakawa",176
"Halloran",176
"Hainaut",176
"Beerel",176
"Picaronny",176
"Ullian",176
"Greibach",176
"Pleszkun",176
"Gopalakrishnan",176
"Luke",176
"Loncour",176
"Chappelet",176
"Reinhard",176
"Menyhert",176
"Sommer",176
"Falck",176
"Rossi",176
"Sinicrope",176
"Coombs",176
"Egerstedt",176
"Lieberherr",176
"Saoudi",176
"Cullers",176
"Schahn",176
"Fendler",175
"Porenta",175
"Vidal",175
"Vidya",175
"Schurmann",175
"Kalsbeek",175
"Lunn",175
"Vural",175
"Honiden",175
"Bergere",175
"Demke",175
"Sommen",175
"Wissmann",175
"Skrikant",175
"Molenaar",175
"Iisaku",175
"Lienhardt",175
"Lores",175
"Papastamatiou",175
"Krohn",175
"Roohalamini",175
"Tsunoo",175
"Beausoleil",175
"Edelhoff",175
"Kropatsch",175
"Cappello",175
"Valiente",175
"Matteis",175
"Sigstam",175
"Cyre",175
"Schicker",175
"Engelmann",175
"Barreiro",175
"Flexer",175
"Milicia",175
"Cooley",175
"Coney",175
"Chinal",175
"Tanemo",175
"Denny",175
"Murtagh",175
"Shinomoto",175
"Atrawala",175
"Picci",175
"Laurillard",175
"Vesna",175
"Alvarado",175
"Eldridge",174
"Georg",174
"Gecsel",174
"Bernick",174
"Pintelas",174
"Tzvieli",174
"Cannane",174
"Pettey",174
"Cannata",174
"Fordan",174
"Varker",174
"Douceur",174
"Fiutem",174
"Veldwijk",174
"Hennings",174
"Peha",174
"Choobineh",174
"Dolinsky",174
"Bage",174
"Azuma",174
"Itschner",174
"Angelov",174
"Etalle",174
"Oxman",174
"Oskamp",174
"Schlenzig",174
"Assaf",174
"Rubsam",174
"Showalter",174
"Sambasivam",174
"Schonegge",174
"Schauser",174
"Syrzycki",174
"Boissier",174
"Schoegge",174
"Potthoff",174
"Stafford",173
"Melter",173
"Bratsberg",173
"Orlowska",173
"Perna",173
"Rusmann",173
"Berstel",173
"Validov",173
"Leonhardt",173
"Zockler",173
"Biron",173
"Ranze",173
"Peternell",173
"Range",173
"Beidas",173
"Marchegay",173
"Denos",173
"Ambroszkiewicz",173
"Kruskal",173
"Pietracaprina",173
"Deyuan",173
"Gadepally",173
"Gini",173
"Clemencon",173
"Masamoto",173
"Biros",173
"Huhdanpaa",173
"Pena",173
"Comte",173
"Tischendorf",173
"Gimarc",173
"Lanteri",173
"Quaggetto",173
"Flanders",173
"Nitsch",173
"Mersereau",172
"Nyrup",172
"Kalefeld",172
"Janetzko",172
"Heydon",172
"Pell",172
"Henseler",172
"Heinisuo",172
"Perz",172
"Halevi",172
"Glowinski",172
"Portugali",172
"Zielinski",172
"Gide",172
"Ranka",172
"Fandrianto",172
"Rotem",172
"Zaiane",172
"Syrotiuk",172
"Thibadeau",172
"Thombley",172
"Tokunaga",172
"Beeson",172
"Aingworth",172
"Basart",172
"Vieri",172
"Vrecion",172
"McAlpine",172
"Bade",172
"Whittlesey",172
"Morton",172
"Muniz",172
"Hashii",171
"Navazio",171
"Nergos",171
"Pauthner",171
"Gubsky",171
"Plotkin",171
"Rullman",171
"Roison",171
"Kropf",171
"Kaiserswerth",171
"Mungall",171
"Isaak",171
"Kenevan",171
"Rabejac",171
"Lodder",171
"Comyn",171
"Rande",171
"Frijda",171
"Hutter",171
"Castellani",171
"Litzler",171
"Androutsos",171
"Serot",171
"Yetim",170
"Keirsey",170
"Fontet",170
"Staelin",170
"Spell",170
"Sluis",170
"Limongiello",170
"Farrel",170
"Falster",170
"Sessa",170
"Setiz",170
"Lund",170
"Badache",170
"Kinley",170
"Himler",170
"Penn",170
"Sanella",170
"Shobatake",170
"Mateescu",170
"Verhoeff",170
"Hemaspaandra",170
"Harnett",170
"Piazza",170
"Akiyama",170
"Alencar",170
"Polajnar",170
"Schrooten",170
"Marletta",170
"Morris",169
"Shackell",169
"Ebeling",169
"Conry",169
"Condotta",169
"Maginnis",169
"Rijsenbrij",169
"Yoshimura",169
"Ferriere",169
"Yetto",169
"Casperson",169
"Minakawa",169
"Glinert",169
"Thisen",169
"Kolvik",169
"Maccarone",169
"Piancastelli",169
"Unni",169
"Lueh",169
"Badr",169
"Janocha",169
"Wixon",169
"Journel",169
"Junot",169
"Yavatkar",169
"Grabner",168
"Streit",168
"Yamaashi",168
"Wallrath",168
"Butterworth",168
"Bauknecht",168
"Qiwen",168
"Puoti",168
"Theuretzbacher",168
"Lampe",168
"Arlazarov",168
"Jeong",168
"Sevcikova",168
"Perko",168
"Gniady",168
"Kushnir",168
"Emmerich",168
"Gyorkos",168
"Gladwell",168
"Montresor",168
"Pargaonkar",168
"Lakshmanan",168
"Oaver",167
"Collavizza",167
"Pesch",167
"Lung",167
"Cromarty",167
"Nations",167
"Gips",167
"Nicolson",167
"Simmel",167
"Gire",167
"Wuwongse",167
"Fritzsche",167
"Benaini",167
"Ramsak",167
"Burnard",167
"Murthy",167
"Serdy",167
"Thambidurai",167
"Brizzi",167
"Socorro",167
"Schueller",167
"Wiegley",167
"Demeyer",166
"Pezzoli",166
"Pileggi",166
"Kandlur",166
"Stranks",166
"Narahari",166
"Erman",166
"dAstous",166
"Murrill",166
"Azevdeo",166
"Farrow",166
"Swiler",166
"Babb",166
"Cusworth",166
"Luiz",166
"Rattan",166
"Marwedel",166
"Teitelbaum",166
"Erev",166
"Perelgut",166
"Marsiglia",166
"Coullard",166
"McFarlan",166
"Pappas",165
"Delaune",165
"Hempstead",165
"Suwa",165
"Brookman",165
"Ritzmann",165
"Jiafu",165
"Bugaenko",165
"Plumb",165
"Schnelling",165
"Barinka",165
"Perin",165
"Stille",165
"Lambe",165
"Eppinger",165
"Greenaway",165
"Pillow",165
"Denis",165
"Andreotta",165
"Homond",165
"Marciano",165
"Cichocki",165
"Benzaken",165
"Zschoche",165
"Gischer",165
"Blokdijk",165
"Luks",164
"Macedo",164
"Sury",164
"Bresenham",164
"Ginesta",164
"Porotnikoff",164
"Gulla",164
"Hagimont",164
"Moehrke",164
"Pero",164
"Hegner",164
"Veccia",164
"Wilharm",164
"Soloway",164
"Esteva",164
"Aloisi",164
"Reeker",164
"Bierbaum",163
"Waleschkowski",163
"Copas",163
"Usdin",163
"Skogmar",163
"Niizuma",163
"Karlin",163
"Velardi",163
"Kragelund",163
"Kroha",163
"Oehlmann",163
"Kading",163
"Kadhim",163
"Dayana",163
"Georgakopoulos",163
"Sidje",163
"Leijenhorst",163
"Luef",163
"Zhang",163
"Guerreiro",163
"Pluym",163
"Slaats",163
"Matzel",163
"Zedlitz",163
"Baik",162
"Baig",162
"Couchot",162
"Nittel",162
"Mamelak",162
"Stemann",162
"Nivat",162
"Mundy",162
"Bisiani",162
"Dalton",162
"VanScheik",162
"Merle",162
"Baaleh",162
"Rehfuss",162
"Zobel",162
"Lorie",161
"Standera",161
"Slutz",161
"Tempesti",161
"Kopetz",161
"Breugel",161
"Aumann",161
"Swab",161
"Litzkow",161
"Erni",161
"Levergood",161
"Anguita",161
"Tibblin",160
"Baranowski",160
"Kroon",160
"Raoux",160
"Munro",160
"Pellegrinelli",160
"Nilsson",160
"Ananiadou",160
"Wielonsky",160
"Jansch",160
"Schmezko",160
"Zastre",160
"Schnabel",160
"Ramras",160
"Calkin",160
"Heijenga",160
"Lyonns",160
"Marzano",160
"Bharadwaj",160
"Pearson",159
"Ramalingam",159
"Stiles",159
"Miculan",159
"Mitsuhashi",159
"Schrift",159
"Nitto",159
"Hmelo",159
"Vadhan",159
"Lemarechal",158
"Krider",158
"Koprowski",158
"Giarratana",158
"Hennebert",158
"Carrera",158
"Benner",158
"Leppanen",157
"Seiwald",157
"Dechter",156
"Ozery",156
"Serov",156
"Terwilliger",156
"Polupanov",156
"Bernardinello",156
"Erva",156
"Ritcey",156
"Vieth",156
"Mandelberg",156
"Rosti",155
"Axelband",155
"Baumann",155
"Hopewell",155
"Ravishankar",155
"Suessmith",155
"Prampolini",153
"Shigei",153
"Kabayashi",153
"Ranst",153
"Sabnani",152
"Genin",152
"Thorelli",152
"Gonthier",151
"Nollmann",151
"Schwartzbauer",151
"Provine",151
